,Sigla,Início Vigência,Fim Vigência,Subgrupo,Modalidade,Posto,Unidade,TUSD,TE
143945,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul APE,Fora ponta,R$/kW,5.41,0.0
143947,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul APE,Fora ponta,R$/MWh,6.29647941836811,0.0
143949,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul,Fora ponta,R$/kW,5.41,0.0
143951,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul,Fora ponta,R$/MWh,29.3930411634939,256.8
143953,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul APE,Ponta,R$/kW,12.14,0.0
143955,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul APE,Ponta,R$/MWh,6.29647941836811,0.0
143957,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul,Ponta,R$/kW,12.14,0.0
143959,Energisa Borborema,2019-02-04,2019-03-31,A3,Azul,Ponta,R$/MWh,29.3930411634939,421.12
143967,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul APE,Fora ponta,R$/kW,12.63,0.0
143969,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul APE,Fora ponta,R$/MWh,11.83,0.0
143971,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul,Fora ponta,R$/kW,12.63,0.0
143973,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul,Fora ponta,R$/MWh,34.92,256.8
143975,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul APE,Ponta,R$/kW,38.66,0.0
143977,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul APE,Ponta,R$/MWh,11.83,0.0
143979,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul,Ponta,R$/kW,38.66,0.0
143981,Energisa Borborema,2019-02-04,2019-03-31,A4,Azul,Ponta,R$/MWh,34.92,421.12
143995,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde APE,Fora ponta,R$/MWh,11.83,0.0
143997,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde,Fora ponta,R$/MWh,34.92,256.8
143999,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde APE,Não se aplica,R$/kW,12.63,0.0
144001,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde,Não se aplica,R$/kW,12.63,0.0
144003,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde APE,Ponta,R$/MWh,943.42,0.0
144005,Energisa Borborema,2019-02-04,2019-03-31,A4,Verde,Ponta,R$/MWh,966.52,421.12
144069,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul APE,Fora ponta,R$/kW,5.41,0.0
144071,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul APE,Fora ponta,R$/MWh,6.29647941836811,0.0
144073,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul,Fora ponta,R$/kW,5.41,0.0
144075,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul,Fora ponta,R$/MWh,29.3930411634939,243.88
144077,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul APE,Ponta,R$/kW,12.14,0.0
144079,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul APE,Ponta,R$/MWh,6.29647941836811,0.0
144081,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul,Ponta,R$/kW,12.14,0.0
144083,Energisa Borborema,2019-04-01,2020-02-03,A3,Azul,Ponta,R$/MWh,29.3930411634939,408.2
144091,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul APE,Fora ponta,R$/kW,12.63,0.0
144093,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul APE,Fora ponta,R$/MWh,11.83,0.0
144095,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul,Fora ponta,R$/kW,12.63,0.0
144097,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul,Fora ponta,R$/MWh,34.93,243.88
144099,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul APE,Ponta,R$/kW,38.66,0.0
144101,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul APE,Ponta,R$/MWh,11.83,0.0
144103,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul,Ponta,R$/kW,38.66,0.0
144105,Energisa Borborema,2019-04-01,2020-02-03,A4,Azul,Ponta,R$/MWh,34.93,408.2
144119,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde APE,Fora ponta,R$/MWh,11.83,0.0
144121,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde,Fora ponta,R$/MWh,34.93,243.88
144123,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde APE,Não se aplica,R$/kW,12.63,0.0
144125,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde,Não se aplica,R$/kW,12.63,0.0
144127,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde APE,Ponta,R$/MWh,943.48,0.0
144129,Energisa Borborema,2019-04-01,2020-02-03,A4,Verde,Ponta,R$/MWh,966.57,408.2
144193,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul APE,Fora ponta,R$/kW,5.78,0.0
144195,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul APE,Fora ponta,R$/MWh,4.05,0.0
144197,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul,Fora ponta,R$/kW,5.78,0.0
144199,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul,Fora ponta,R$/MWh,25.88,218.53
144201,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul APE,Ponta,R$/kW,12.48,0.0
144203,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul APE,Ponta,R$/MWh,4.05,0.0
144205,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul,Ponta,R$/kW,12.48,0.0
144207,Energisa Borborema,2020-02-04,2021-02-03,A3,Azul,Ponta,R$/MWh,25.88,369.87
144215,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul APE,Fora ponta,R$/kW,13.47,0.0
144217,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul APE,Fora ponta,R$/MWh,11.31,0.0
144219,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul,Fora ponta,R$/kW,13.47,0.0
144221,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul,Fora ponta,R$/MWh,36.37,218.53
144223,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul APE,Ponta,R$/kW,40.87,0.0
144225,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul APE,Ponta,R$/MWh,11.31,0.0
144227,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul,Ponta,R$/kW,40.87,0.0
144229,Energisa Borborema,2020-02-04,2021-02-03,A4,Azul,Ponta,R$/MWh,36.37,369.87
144239,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde APE,Fora ponta,R$/MWh,11.31,0.0
144241,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde,Fora ponta,R$/MWh,36.37,218.53
144243,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde APE,Não se aplica,R$/kW,13.47,0.0
144245,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde,Não se aplica,R$/kW,13.47,0.0
144247,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde APE,Ponta,R$/MWh,1004.64,0.0
144249,Energisa Borborema,2020-02-04,2021-02-03,A4,Verde,Ponta,R$/MWh,1029.7,369.87
144312,Energisa MG,2016-06-22,2017-03-31,A2,Azul APE,Fora ponta,R$/kW,4.64,0.0
144315,Energisa MG,2016-06-22,2017-03-31,A2,Azul APE,Fora ponta,R$/MWh,4.77,0.0
144316,Energisa MG,2016-06-22,2017-03-31,A2,Azul,Fora ponta,R$/kW,4.64,0.0
144318,Energisa MG,2016-06-22,2017-03-31,A2,Azul,Fora ponta,R$/MWh,54.15,240.81
144320,Energisa MG,2016-06-22,2017-03-31,A2,Azul APE,Ponta,R$/kW,15.03,0.0
144323,Energisa MG,2016-06-22,2017-03-31,A2,Azul APE,Ponta,R$/MWh,4.77,0.0
144324,Energisa MG,2016-06-22,2017-03-31,A2,Azul,Ponta,R$/kW,15.03,0.0
144327,Energisa MG,2016-06-22,2017-03-31,A2,Azul,Ponta,R$/MWh,54.15,373.01
144350,Energisa MG,2016-06-22,2017-03-31,A3,Azul APE,Fora ponta,R$/kW,4.74,0.0
144353,Energisa MG,2016-06-22,2017-03-31,A3,Azul APE,Fora ponta,R$/MWh,6.96,0.0
144354,Energisa MG,2016-06-22,2017-03-31,A3,Azul,Fora ponta,R$/kW,4.74,0.0
144356,Energisa MG,2016-06-22,2017-03-31,A3,Azul,Fora ponta,R$/MWh,56.34,240.81
144358,Energisa MG,2016-06-22,2017-03-31,A3,Azul APE,Ponta,R$/kW,16.8,0.0
144361,Energisa MG,2016-06-22,2017-03-31,A3,Azul APE,Ponta,R$/MWh,6.96,0.0
144362,Energisa MG,2016-06-22,2017-03-31,A3,Azul,Ponta,R$/kW,16.8,0.0
144365,Energisa MG,2016-06-22,2017-03-31,A3,Azul,Ponta,R$/MWh,56.34,373.01
144374,Energisa MG,2016-06-22,2017-03-31,A4,Azul APE,Fora ponta,R$/kW,15.47,0.0
144377,Energisa MG,2016-06-22,2017-03-31,A4,Azul APE,Fora ponta,R$/MWh,13.24,0.0
144378,Energisa MG,2016-06-22,2017-03-31,A4,Azul,Fora ponta,R$/kW,15.47,0.0
144380,Energisa MG,2016-06-22,2017-03-31,A4,Azul,Fora ponta,R$/MWh,62.62,240.81
144382,Energisa MG,2016-06-22,2017-03-31,A4,Azul APE,Ponta,R$/kW,44.13,0.0
144385,Energisa MG,2016-06-22,2017-03-31,A4,Azul APE,Ponta,R$/MWh,13.24,0.0
144386,Energisa MG,2016-06-22,2017-03-31,A4,Azul,Ponta,R$/kW,44.13,0.0
144389,Energisa MG,2016-06-22,2017-03-31,A4,Azul,Ponta,R$/MWh,62.62,373.01
144403,Energisa MG,2016-06-22,2017-03-31,A4,Verde APE,Fora ponta,R$/MWh,13.24,0.0
144404,Energisa MG,2016-06-22,2017-03-31,A4,Verde,Fora ponta,R$/MWh,62.62,240.81
144406,Energisa MG,2016-06-22,2017-03-31,A4,Verde APE,Não se aplica,R$/kW,15.47,0.0
144408,Energisa MG,2016-06-22,2017-03-31,A4,Verde,Não se aplica,R$/kW,15.47,0.0
144410,Energisa MG,2016-06-22,2017-03-31,A4,Verde APE,Ponta,R$/MWh,1083.28,0.0
144413,Energisa MG,2016-06-22,2017-03-31,A4,Verde,Ponta,R$/MWh,1132.65,373.01
144476,Energisa MG,2017-04-01,2017-06-21,A2,Azul APE,Fora ponta,R$/kW,4.64,0.0
144479,Energisa MG,2017-04-01,2017-06-21,A2,Azul APE,Fora ponta,R$/MWh,4.77,0.0
144480,Energisa MG,2017-04-01,2017-06-21,A2,Azul,Fora ponta,R$/kW,4.64,0.0
144482,Energisa MG,2017-04-01,2017-06-21,A2,Azul,Fora ponta,R$/MWh,54.15,235.49
144484,Energisa MG,2017-04-01,2017-06-21,A2,Azul APE,Ponta,R$/kW,15.03,0.0
144487,Energisa MG,2017-04-01,2017-06-21,A2,Azul APE,Ponta,R$/MWh,4.77,0.0
144488,Energisa MG,2017-04-01,2017-06-21,A2,Azul,Ponta,R$/kW,15.03,0.0
144490,Energisa MG,2017-04-01,2017-06-21,A2,Azul,Ponta,R$/MWh,54.15,367.68
144514,Energisa MG,2017-04-01,2017-06-21,A3,Azul APE,Fora ponta,R$/kW,4.74,0.0
144517,Energisa MG,2017-04-01,2017-06-21,A3,Azul APE,Fora ponta,R$/MWh,6.96,0.0
144518,Energisa MG,2017-04-01,2017-06-21,A3,Azul,Fora ponta,R$/kW,4.74,0.0
144520,Energisa MG,2017-04-01,2017-06-21,A3,Azul,Fora ponta,R$/MWh,56.34,235.49
144522,Energisa MG,2017-04-01,2017-06-21,A3,Azul APE,Ponta,R$/kW,16.8,0.0
144525,Energisa MG,2017-04-01,2017-06-21,A3,Azul APE,Ponta,R$/MWh,6.96,0.0
144526,Energisa MG,2017-04-01,2017-06-21,A3,Azul,Ponta,R$/kW,16.8,0.0
144528,Energisa MG,2017-04-01,2017-06-21,A3,Azul,Ponta,R$/MWh,56.34,367.68
144538,Energisa MG,2017-04-01,2017-06-21,A4,Azul APE,Fora ponta,R$/kW,15.47,0.0
144541,Energisa MG,2017-04-01,2017-06-21,A4,Azul APE,Fora ponta,R$/MWh,13.24,0.0
144542,Energisa MG,2017-04-01,2017-06-21,A4,Azul,Fora ponta,R$/kW,15.47,0.0
144544,Energisa MG,2017-04-01,2017-06-21,A4,Azul,Fora ponta,R$/MWh,62.62,235.49
144546,Energisa MG,2017-04-01,2017-06-21,A4,Azul APE,Ponta,R$/kW,44.13,0.0
144549,Energisa MG,2017-04-01,2017-06-21,A4,Azul APE,Ponta,R$/MWh,13.24,0.0
144550,Energisa MG,2017-04-01,2017-06-21,A4,Azul,Ponta,R$/kW,44.13,0.0
144552,Energisa MG,2017-04-01,2017-06-21,A4,Azul,Ponta,R$/MWh,62.62,367.68
144567,Energisa MG,2017-04-01,2017-06-21,A4,Verde APE,Fora ponta,R$/MWh,13.24,0.0
144568,Energisa MG,2017-04-01,2017-06-21,A4,Verde,Fora ponta,R$/MWh,62.62,235.49
144570,Energisa MG,2017-04-01,2017-06-21,A4,Verde APE,Não se aplica,R$/kW,15.47,0.0
144572,Energisa MG,2017-04-01,2017-06-21,A4,Verde,Não se aplica,R$/kW,15.47,0.0
144574,Energisa MG,2017-04-01,2017-06-21,A4,Verde APE,Ponta,R$/MWh,1083.28,0.0
144576,Energisa MG,2017-04-01,2017-06-21,A4,Verde,Ponta,R$/MWh,1132.65,367.68
144641,Energisa MG,2017-06-22,2018-06-21,A2,Azul APE,Fora ponta,R$/kW,7.47,0.0
144643,Energisa MG,2017-06-22,2018-06-21,A2,Azul APE,Fora ponta,R$/MWh,10.52,0.0
144645,Energisa MG,2017-06-22,2018-06-21,A2,Azul,Fora ponta,R$/kW,7.47,0.0
144647,Energisa MG,2017-06-22,2018-06-21,A2,Azul,Fora ponta,R$/MWh,35.44,247.36
144649,Energisa MG,2017-06-22,2018-06-21,A2,Azul APE,Ponta,R$/kW,18.5,0.0
144651,Energisa MG,2017-06-22,2018-06-21,A2,Azul APE,Ponta,R$/MWh,10.52,0.0
144653,Energisa MG,2017-06-22,2018-06-21,A2,Azul,Ponta,R$/kW,18.5,0.0
144655,Energisa MG,2017-06-22,2018-06-21,A2,Azul,Ponta,R$/MWh,35.44,388.08
144679,Energisa MG,2017-06-22,2018-06-21,A3,Azul APE,Fora ponta,R$/kW,6.84,0.0
144681,Energisa MG,2017-06-22,2018-06-21,A3,Azul APE,Fora ponta,R$/MWh,8.02,0.0
144683,Energisa MG,2017-06-22,2018-06-21,A3,Azul,Fora ponta,R$/kW,6.84,0.0
144685,Energisa MG,2017-06-22,2018-06-21,A3,Azul,Fora ponta,R$/MWh,32.93,247.36
144687,Energisa MG,2017-06-22,2018-06-21,A3,Azul APE,Ponta,R$/kW,19.39,0.0
144689,Energisa MG,2017-06-22,2018-06-21,A3,Azul APE,Ponta,R$/MWh,8.02,0.0
144691,Energisa MG,2017-06-22,2018-06-21,A3,Azul,Ponta,R$/kW,19.39,0.0
144693,Energisa MG,2017-06-22,2018-06-21,A3,Azul,Ponta,R$/MWh,32.93,388.08
144707,Energisa MG,2017-06-22,2018-06-21,A4,Azul APE,Fora ponta,R$/kW,17.75,0.0
144709,Energisa MG,2017-06-22,2018-06-21,A4,Azul APE,Fora ponta,R$/MWh,15.67,0.0
144711,Energisa MG,2017-06-22,2018-06-21,A4,Azul,Fora ponta,R$/kW,17.75,0.0
144713,Energisa MG,2017-06-22,2018-06-21,A4,Azul,Fora ponta,R$/MWh,41.54,247.36
144715,Energisa MG,2017-06-22,2018-06-21,A4,Azul APE,Ponta,R$/kW,46.55,0.0
144717,Energisa MG,2017-06-22,2018-06-21,A4,Azul APE,Ponta,R$/MWh,15.67,0.0
144719,Energisa MG,2017-06-22,2018-06-21,A4,Azul,Ponta,R$/kW,46.55,0.0
144721,Energisa MG,2017-06-22,2018-06-21,A4,Azul,Ponta,R$/MWh,41.54,388.08
144735,Energisa MG,2017-06-22,2018-06-21,A4,Verde APE,Fora ponta,R$/MWh,15.67,0.0
144737,Energisa MG,2017-06-22,2018-06-21,A4,Verde,Fora ponta,R$/MWh,41.54,247.36
144739,Energisa MG,2017-06-22,2018-06-21,A4,Verde APE,Não se aplica,R$/kW,17.75,0.0
144741,Energisa MG,2017-06-22,2018-06-21,A4,Verde,Não se aplica,R$/kW,17.75,0.0
144743,Energisa MG,2017-06-22,2018-06-21,A4,Verde APE,Ponta,R$/MWh,1144.85,0.0
144745,Energisa MG,2017-06-22,2018-06-21,A4,Verde,Ponta,R$/MWh,1170.72,388.08
144819,Energisa MG,2018-06-22,2019-06-21,A2,Azul APE,Fora ponta,R$/kW,10.22,0.0
144821,Energisa MG,2018-06-22,2019-06-21,A2,Azul APE,Fora ponta,R$/MWh,13.63,0.0
144823,Energisa MG,2018-06-22,2019-06-21,A2,Azul,Fora ponta,R$/kW,10.22,0.0
144825,Energisa MG,2018-06-22,2019-06-21,A2,Azul,Fora ponta,R$/MWh,53.21,264.9
144827,Energisa MG,2018-06-22,2019-06-21,A2,Azul APE,Ponta,R$/kW,23.07,0.0
144829,Energisa MG,2018-06-22,2019-06-21,A2,Azul APE,Ponta,R$/MWh,13.63,0.0
144831,Energisa MG,2018-06-22,2019-06-21,A2,Azul,Ponta,R$/kW,23.07,0.0
144833,Energisa MG,2018-06-22,2019-06-21,A2,Azul,Ponta,R$/MWh,53.21,432.0
144857,Energisa MG,2018-06-22,2019-06-21,A3,Azul APE,Fora ponta,R$/kW,8.94,0.0
144859,Energisa MG,2018-06-22,2019-06-21,A3,Azul APE,Fora ponta,R$/MWh,9.48,0.0
144861,Energisa MG,2018-06-22,2019-06-21,A3,Azul,Fora ponta,R$/kW,8.94,0.0
144863,Energisa MG,2018-06-22,2019-06-21,A3,Azul,Fora ponta,R$/MWh,49.07,264.9
144865,Energisa MG,2018-06-22,2019-06-21,A3,Azul APE,Ponta,R$/kW,22.95,0.0
144867,Energisa MG,2018-06-22,2019-06-21,A3,Azul APE,Ponta,R$/MWh,9.48,0.0
144869,Energisa MG,2018-06-22,2019-06-21,A3,Azul,Ponta,R$/kW,22.95,0.0
144871,Energisa MG,2018-06-22,2019-06-21,A3,Azul,Ponta,R$/MWh,49.07,432.0
144875,Energisa MG,2018-06-22,2019-06-21,A4,Azul APE,Fora ponta,R$/kW,20.08,0.0
144877,Energisa MG,2018-06-22,2019-06-21,A4,Azul APE,Fora ponta,R$/MWh,18.27,0.0
144879,Energisa MG,2018-06-22,2019-06-21,A4,Azul,Fora ponta,R$/kW,20.08,0.0
144881,Energisa MG,2018-06-22,2019-06-21,A4,Azul,Fora ponta,R$/MWh,61.18,264.9
144883,Energisa MG,2018-06-22,2019-06-21,A4,Azul APE,Ponta,R$/kW,49.94,0.0
144885,Energisa MG,2018-06-22,2019-06-21,A4,Azul APE,Ponta,R$/MWh,18.27,0.0
144887,Energisa MG,2018-06-22,2019-06-21,A4,Azul,Ponta,R$/kW,49.94,0.0
144889,Energisa MG,2018-06-22,2019-06-21,A4,Azul,Ponta,R$/MWh,61.18,432.0
144901,Energisa MG,2018-06-22,2019-06-21,A4,Verde APE,Fora ponta,R$/MWh,18.27,0.0
144903,Energisa MG,2018-06-22,2019-06-21,A4,Verde,Fora ponta,R$/MWh,61.18,264.9
144905,Energisa MG,2018-06-22,2019-06-21,A4,Verde APE,Não se aplica,R$/kW,20.08,0.0
144907,Energisa MG,2018-06-22,2019-06-21,A4,Verde,Não se aplica,R$/kW,20.08,0.0
144909,Energisa MG,2018-06-22,2019-06-21,A4,Verde APE,Ponta,R$/MWh,1220.23,0.0
144911,Energisa MG,2018-06-22,2019-06-21,A4,Verde,Ponta,R$/MWh,1263.15,432.0
144975,Energisa MG,2019-06-22,2020-06-21,A2,Azul APE,Fora ponta,R$/kW,9.57,0.0
144977,Energisa MG,2019-06-22,2020-06-21,A2,Azul APE,Fora ponta,R$/MWh,9.16,0.0
144979,Energisa MG,2019-06-22,2020-06-21,A2,Azul,Fora ponta,R$/kW,9.57,0.0
144981,Energisa MG,2019-06-22,2020-06-21,A2,Azul,Fora ponta,R$/MWh,64.52,264.87
144983,Energisa MG,2019-06-22,2020-06-21,A2,Azul APE,Ponta,R$/kW,22.44,0.0
144985,Energisa MG,2019-06-22,2020-06-21,A2,Azul APE,Ponta,R$/MWh,9.16,0.0
144987,Energisa MG,2019-06-22,2020-06-21,A2,Azul,Ponta,R$/kW,22.44,0.0
144989,Energisa MG,2019-06-22,2020-06-21,A2,Azul,Ponta,R$/MWh,64.52,446.3
145013,Energisa MG,2019-06-22,2020-06-21,A3,Azul APE,Fora ponta,R$/kW,8.5,0.0
145015,Energisa MG,2019-06-22,2020-06-21,A3,Azul APE,Fora ponta,R$/MWh,10.38,0.0
145017,Energisa MG,2019-06-22,2020-06-21,A3,Azul,Fora ponta,R$/kW,8.5,0.0
145019,Energisa MG,2019-06-22,2020-06-21,A3,Azul,Fora ponta,R$/MWh,65.75,264.87
145021,Energisa MG,2019-06-22,2020-06-21,A3,Azul APE,Ponta,R$/kW,22.65,0.0
145023,Energisa MG,2019-06-22,2020-06-21,A3,Azul APE,Ponta,R$/MWh,10.38,0.0
145025,Energisa MG,2019-06-22,2020-06-21,A3,Azul,Ponta,R$/kW,22.65,0.0
145027,Energisa MG,2019-06-22,2020-06-21,A3,Azul,Ponta,R$/MWh,65.75,446.3
145031,Energisa MG,2019-06-22,2020-06-21,A4,Azul APE,Fora ponta,R$/kW,19.94,0.0
145033,Energisa MG,2019-06-22,2020-06-21,A4,Azul APE,Fora ponta,R$/MWh,19.93,0.0
145035,Energisa MG,2019-06-22,2020-06-21,A4,Azul,Fora ponta,R$/kW,19.94,0.0
145037,Energisa MG,2019-06-22,2020-06-21,A4,Azul,Fora ponta,R$/MWh,82.76,264.87
145039,Energisa MG,2019-06-22,2020-06-21,A4,Azul APE,Ponta,R$/kW,50.6,0.0
145041,Energisa MG,2019-06-22,2020-06-21,A4,Azul APE,Ponta,R$/MWh,19.93,0.0
145043,Energisa MG,2019-06-22,2020-06-21,A4,Azul,Ponta,R$/kW,50.6,0.0
145045,Energisa MG,2019-06-22,2020-06-21,A4,Azul,Ponta,R$/MWh,82.76,446.3
145059,Energisa MG,2019-06-22,2020-06-21,A4,Verde APE,Fora ponta,R$/MWh,19.93,0.0
145061,Energisa MG,2019-06-22,2020-06-21,A4,Verde,Fora ponta,R$/MWh,82.76,264.87
145063,Energisa MG,2019-06-22,2020-06-21,A4,Verde APE,Não se aplica,R$/kW,19.94,0.0
145065,Energisa MG,2019-06-22,2020-06-21,A4,Verde,Não se aplica,R$/kW,19.94,0.0
145067,Energisa MG,2019-06-22,2020-06-21,A4,Verde APE,Ponta,R$/MWh,1249.94,0.0
145069,Energisa MG,2019-06-22,2020-06-21,A4,Verde,Ponta,R$/MWh,1312.78,446.3
145133,Energisa MG,2020-06-22,2020-06-30,A2,Azul APE,Fora ponta,R$/kW,9.57,0.0
145135,Energisa MG,2020-07-01,2021-06-21,A2,Azul APE,Fora ponta,R$/kW,10.39,0.0
145137,Energisa MG,2020-06-22,2020-06-30,A2,Azul APE,Fora ponta,R$/MWh,9.16,0.0
145139,Energisa MG,2020-07-01,2021-06-21,A2,Azul APE,Fora ponta,R$/MWh,11.61,0.0
145141,Energisa MG,2020-06-22,2020-06-30,A2,Azul,Fora ponta,R$/kW,9.57,0.0
145143,Energisa MG,2020-07-01,2021-06-21,A2,Azul,Fora ponta,R$/kW,10.39,0.0
145146,Energisa MG,2020-06-22,2020-06-30,A2,Azul,Fora ponta,R$/MWh,64.52,264.87
145147,Energisa MG,2020-07-01,2021-06-21,A2,Azul,Fora ponta,R$/MWh,70.07,277.99
145149,Energisa MG,2020-06-22,2020-06-30,A2,Azul APE,Ponta,R$/kW,22.44,0.0
145151,Energisa MG,2020-07-01,2021-06-21,A2,Azul APE,Ponta,R$/kW,23.5,0.0
145153,Energisa MG,2020-06-22,2020-06-30,A2,Azul APE,Ponta,R$/MWh,9.16,0.0
145155,Energisa MG,2020-07-01,2021-06-21,A2,Azul APE,Ponta,R$/MWh,11.61,0.0
145157,Energisa MG,2020-06-22,2020-06-30,A2,Azul,Ponta,R$/kW,22.44,0.0
145159,Energisa MG,2020-07-01,2021-06-21,A2,Azul,Ponta,R$/kW,23.5,0.0
145162,Energisa MG,2020-06-22,2020-06-30,A2,Azul,Ponta,R$/MWh,64.52,446.3
145163,Energisa MG,2020-07-01,2021-06-21,A2,Azul,Ponta,R$/MWh,70.07,468.17
145207,Energisa MG,2020-06-22,2020-06-30,A3,Azul APE,Fora ponta,R$/kW,8.5,0.0
145209,Energisa MG,2020-07-01,2021-06-21,A3,Azul APE,Fora ponta,R$/kW,9.12,0.0
145212,Energisa MG,2020-06-22,2020-06-30,A3,Azul APE,Fora ponta,R$/MWh,10.38,0.0
145213,Energisa MG,2020-07-01,2021-06-21,A3,Azul APE,Fora ponta,R$/MWh,10.93,0.0
145215,Energisa MG,2020-06-22,2020-06-30,A3,Azul,Fora ponta,R$/kW,8.5,0.0
145217,Energisa MG,2020-07-01,2021-06-21,A3,Azul,Fora ponta,R$/kW,9.12,0.0
145220,Energisa MG,2020-06-22,2020-06-30,A3,Azul,Fora ponta,R$/MWh,65.75,264.87
145221,Energisa MG,2020-07-01,2021-06-21,A3,Azul,Fora ponta,R$/MWh,69.39,277.99
145223,Energisa MG,2020-06-22,2020-06-30,A3,Azul APE,Ponta,R$/kW,22.65,0.0
145225,Energisa MG,2020-07-01,2021-06-21,A3,Azul APE,Ponta,R$/kW,23.54,0.0
145228,Energisa MG,2020-06-22,2020-06-30,A3,Azul APE,Ponta,R$/MWh,10.38,0.0
145229,Energisa MG,2020-07-01,2021-06-21,A3,Azul APE,Ponta,R$/MWh,10.93,0.0
145231,Energisa MG,2020-06-22,2020-06-30,A3,Azul,Ponta,R$/kW,22.65,0.0
145233,Energisa MG,2020-07-01,2021-06-21,A3,Azul,Ponta,R$/kW,23.54,0.0
145236,Energisa MG,2020-06-22,2020-06-30,A3,Azul,Ponta,R$/MWh,65.75,446.3
145237,Energisa MG,2020-07-01,2021-06-21,A3,Azul,Ponta,R$/MWh,69.39,468.17
145243,Energisa MG,2020-06-22,2020-06-30,A4,Azul APE,Fora ponta,R$/kW,19.94,0.0
145245,Energisa MG,2020-07-01,2021-06-21,A4,Azul APE,Fora ponta,R$/kW,20.83,0.0
145248,Energisa MG,2020-06-22,2020-06-30,A4,Azul APE,Fora ponta,R$/MWh,19.93,0.0
145249,Energisa MG,2020-07-01,2021-06-21,A4,Azul APE,Fora ponta,R$/MWh,20.94,0.0
145251,Energisa MG,2020-06-22,2020-06-30,A4,Azul,Fora ponta,R$/kW,19.94,0.0
145253,Energisa MG,2020-07-01,2021-06-21,A4,Azul,Fora ponta,R$/kW,20.83,0.0
145256,Energisa MG,2020-06-22,2020-06-30,A4,Azul,Fora ponta,R$/MWh,82.76,264.87
145257,Energisa MG,2020-07-01,2021-06-21,A4,Azul,Fora ponta,R$/MWh,90.57,277.99
145259,Energisa MG,2020-06-22,2020-06-30,A4,Azul APE,Ponta,R$/kW,50.6,0.0
145261,Energisa MG,2020-07-01,2021-06-21,A4,Azul APE,Ponta,R$/kW,52.04,0.0
145264,Energisa MG,2020-06-22,2020-06-30,A4,Azul APE,Ponta,R$/MWh,19.93,0.0
145265,Energisa MG,2020-07-01,2021-06-21,A4,Azul APE,Ponta,R$/MWh,20.94,0.0
145267,Energisa MG,2020-06-22,2020-06-30,A4,Azul,Ponta,R$/kW,50.6,0.0
