id_subsistema,ear_data,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,verif_max_ratio
SE/CO,2000-02-12,155759.0,57043.0,36.61999893,54.13970639753221
S,2000-02-12,13976.0,5892.0,42.15999985,54.13970639753221
NE,2000-02-13,49967.0,22160.0,44.34999847,54.13970639753221
N,2000-02-13,12311.0,11687.0,94.93000031,54.13970639753221
SE/CO,2000-02-13,155759.0,58628.0,37.63999939,54.13970639753221
S,2000-02-13,13976.0,5866.0,41.97000122,54.13970639753221
NE,2000-02-14,49967.0,22687.0,45.40000153,54.13970639753221
N,2000-02-14,12311.0,11758.0,95.51000214,54.13970639753221
SE/CO,2000-02-14,155759.0,59943.0,38.47999954,54.13970639753221
S,2000-02-14,13976.0,5786.0,41.40000153,54.13970639753221
NE,2000-02-15,49967.0,23055.0,46.13999939,54.13970639753221
N,2000-02-15,12311.0,11775.0,95.63999939,54.13970639753221
SE/CO,2000-02-15,155759.0,61123.0,39.24000168,54.13970639753221
S,2000-02-15,13976.0,5769.0,41.27999878,54.13970639753221
NE,2000-02-16,49967.0,23101.0,46.22999954,54.13970639753221
N,2000-02-16,12311.0,11792.0,95.77999878,54.13970639753221
SE/CO,2000-02-16,155759.0,62192.0,39.93000031,54.13970639753221
S,2000-02-16,13976.0,5792.0,41.43999863,54.13970639753221
NE,2000-02-17,49967.0,23606.0,47.24000168,54.13970639753221
N,2000-02-17,12311.0,11864.0,96.37000275,54.13970639753221
SE/CO,2000-02-17,155759.0,63428.0,40.72000122,54.13970639753221
S,2000-02-17,13976.0,5831.0,41.72000122,54.13970639753221
NE,2000-02-18,49967.0,23886.0,47.79999924,54.13970639753221
N,2000-02-18,12311.0,11896.0,96.62999725,54.13970639753221
SE/CO,2000-02-18,155759.0,64482.0,41.40000153,54.13970639753221
S,2000-02-18,13976.0,5859.0,41.91999817,54.13970639753221
NE,2000-02-19,49967.0,24213.0,48.45999908,54.13970639753221
N,2000-02-19,12311.0,11937.0,96.95999908,54.13970639753221
SE/CO,2000-02-19,155759.0,65505.0,42.06000137,54.13970639753221
S,2000-02-19,13976.0,5958.0,42.63000107,54.13970639753221
NE,2000-02-20,49967.0,24590.0,49.20999908,54.13970639753221
N,2000-02-20,12311.0,11985.0,97.34999847,54.13970639753221
SE/CO,2000-02-20,155759.0,66395.0,42.63000107,54.13970639753221
S,2000-02-20,13976.0,6046.0,43.25999832,54.13970639753221
NE,2000-02-21,49967.0,24814.0,49.65999985,54.13970639753221
N,2000-02-21,12311.0,11971.0,97.23999786,54.13970639753221
SE/CO,2000-02-21,155759.0,66929.0,42.97000122,54.13970639753221
S,2000-02-21,13976.0,6095.0,43.61000061,54.13970639753221
NE,2000-02-22,49967.0,25015.0,50.06000137,54.13970639753221
N,2000-02-22,12311.0,11987.0,97.37000275,54.13970639753221
SE/CO,2000-02-22,155759.0,67319.0,43.22000122,54.13970639753221
S,2000-02-22,13976.0,6131.0,43.86999893,54.13970639753221
NE,2000-02-23,49967.0,25383.0,50.79999924,54.13970639753221
N,2000-02-23,12311.0,12045.0,97.83999634,54.13970639753221
SE/CO,2000-02-23,155759.0,67767.0,43.50999832,54.13970639753221
