Hora;Submercado;1/8/2024;2/8/2024;3/8/2024;4/8/2024;5/8/2024;6/8/2024;7/8/2024;8/8/2024;9/8/2024;10/8/2024;11/8/2024;12/8/2024;13/8/2024;14/8/2024;15/8/2024;16/8/2024;17/8/2024;18/8/2024;19/8/2024;20/8/2024;21/8/2024;22/8/2024;23/8/2024;24/8/2024;25/8/2024;26/8/2024;27/8/2024;28/8/2024;29/8/2024;30/8/2024;31/8/2024
21;SUL;77,27;76,11;102,77;104,46;125,95;126,1;128,32;126,1;121,72;129,64;121,81;188,84;123,37;127,27;125,86;126,06;113,12;114,15;120,85;118,46;119,11;120,95;118,37;114;107,44;126,57;125,35;121,09;123,05;113,63;296,18
21;NORDESTE;77,27;76,13;84,39;82,11;125,95;126,1;128,32;126,1;121,74;129,66;121,78;188,82;123,34;127,23;125,82;110,73;113,14;112,02;120,81;118,44;108,3;87,26;118,33;114,02;106,2;96,42;80,07;84,14;90,79;94,84;295,64
21;NORTE;77,33;76,17;102,83;104,52;126;126,15;128,37;126,15;121,78;129,7;121,83;188,84;123,39;127,28;125,87;126,07;113,18;114,21;120,86;118,49;119,11;120,95;118,38;114,06;107,5;126,59;125,36;121,12;123,06;113,69;296,19
22;SUDESTE;75,33;75,06;101,76;103,38;119,51;121,08;123,4;121,14;117,94;125,74;121,07;128,02;122,42;122,49;122,37;122,85;110,32;111,46;118,96;116,34;115,99;118,54;116,01;105,84;104,85;120,54;117,1;110,44;112,48;110,35;293,66
22;SUL;75,29;75,02;101,72;103,34;119,47;121,04;123,36;121,1;117,9;125,7;121,07;127,98;122,4;122,49;122,37;122,81;110,28;111,43;118,94;116,3;115,95;118,52;115,99;105,8;104,81;120,52;117,08;110,4;112,46;110,31;293,67
22;NORDESTE;75,31;75,04;84,49;82,3;119,48;121,05;123,37;121,12;117,92;125,72;121,05;128;122,4;122,47;122,35;112,3;110,3;109,28;118,92;116,32;108,4;94,31;115,98;105,82;104,83;96,52;91,47;90,12;94,38;95,39;293,63
22;NORTE;75,35;75,08;101,78;103,4;119,52;121,09;123,42;121,16;117,96;125,76;121,09;128,04;122,44;122,51;122,39;122,86;110,34;111,48;118,97;116,36;116;118,55;116,02;105,86;104,88;120,57;117,13;110,48;112,52;110,38;293,68
23;SUDESTE;73,65;73,72;100,33;102,21;105,09;106,15;109,25;111,44;106,64;123,18;119,48;124,14;120,53;119,33;119,69;120,21;108,88;110,55;113,03;111,75;111,41;112,59;112,08;104,32;104,28;104,84;105,47;104,46;104,68;105,11;293,16
23;SUL;73,61;73,68;100,29;102,17;105,05;106,11;109,21;111,4;106,6;123,14;119,48;124,14;120,53;119,33;119,67;120,17;108,84;110,51;112,99;111,71;111,37;112,55;112,04;104,28;104,24;104,8;105,43;104,42;104,64;105,07;293,16
23;NORDESTE;73,63;73,7;84,59;82,48;102,47;106,13;109,23;111,42;106,62;123,16;119,46;124,12;120,51;113,6;118,87;114,01;108,86;110,4;113,01;111,73;108,81;106,07;112,06;104,3;104,26;96,62;98,65;99,46;102,67;97,14;293,14
23;NORTE;73,67;73,74;100,35;102,23;105,11;106,17;109,27;111,46;106,66;123,2;119,5;124,16;120,55;119,35;119,71;120,23;108,9;110,57;113,05;111,77;111,43;112,61;112,1;104,34;104,3;104,88;105,51;104,5;104,72;105,15;293,18
