,Unnamed: 0,Ano,(jan)MWmed,(fev)MWmed,(mar)MWmed,(abr)MWmed,(mai)MWmed,(jun)MWmed,(jul)MWmed,(ago)MWmed,(set)MWmed,(out)MWmed,(nov)MWmed,(dez)MWmed,(min)MWmed,(jnd)MWmed,(max)MWmed,(jan)% med.,(fev)% med.,(mar)% med.,(abr)% med.,(mai)% med.,(jun)% med.,(jul)% med.,(ago)% med.,(set)% med.,(out)% med.,(nov)% med.,(dez)% med.,(min)% med.,(jnd)% med.,(max)% med.,Subsistema
112,112,1950,5626.43,5350.8,8382.41,3934.32,5108.03,4510.01,4181.26,8413.04,6227.54,19270.31,7206.01,5463.35,3934.32,6972.7925000000005,19270.31,74.54456780511,64.68773942596704,118.63026665799478,60.11241413169216,59.18605471410915,42.55503987136453,38.35997309548064,84.09454647292551,53.55676449149029,144.23771252710873,77.38967994748427,73.6797951095398,42.42707886552429,75.19348129039739,207.80794702339955,S
113,113,1951,6518.0,12286.07,11392.94,3797.72,2127.22,2112.45,2786.23,1368.41,1547.2,14986.65,11008.49,6387.55,1368.41,6359.910833333334,14986.65,86.35697821775211,148.5307047038183,161.23614929579148,58.02530485476777,24.647811251881308,19.932415665655725,25.561602922999526,13.678268300045644,13.305900246523308,112.1746414273768,118.22680204510972,86.14373511708766,14.75671500802479,68.58426322808914,161.6136413611525,S
114,114,1952,3611.99,3376.5,2215.08,1895.1,1042.03,7470.64,8769.71,3450.94,10205.81,16115.7,9913.4,4234.58,1042.03,6025.123333333333,16115.7,47.85525341404394,40.819718952638425,31.34844645737814,28.955203445822857,12.073861076333374,70.49061599965647,80.45561377555269,34.49469326251599,87.76983569995478,120.6255479944602,106.46597120894788,57.108365155985794,11.23708518631994,64.97396826842858,173.78913633693492,S
115,115,1953,5132.05,6779.01,3994.99,3806.12,3227.16,5404.98,4312.89,3485.71,13162.97,17481.75,14765.88,6234.36,3227.16,7315.655833333334,17481.75,67.99452747198754,81.95388211968768,56.53824246201541,58.15364832421261,37.39266768816638,50.99969609910572,39.56758115108065,34.84224508455222,113.20137394517768,130.85039270104025,158.57967548517956,84.07778513899173,34.80117830569586,78.8908647476225,188.52040148167387,S
116,116,1954,9723.58,6511.56,7957.1,6611.31,18090.24,20389.95,20862.06,6558.81,21150.97,25146.24,6667.41,4375.05,4375.05,12837.023333333333,25146.24,128.8277057776266,78.72058319065373,112.61115774870598,101.01410273516076,209.60917113473613,192.3931732357864,191.39399614381853,65.56014857317788,181.89807196044927,188.21887848496897,71.60533026996299,59.0027707531079,47.17984083414975,138.43241052123588,271.173038200096,S
117,117,1955,3524.28,4635.43,4532.31,9904.15,14216.43,19779.0,24715.09,10859.28,10067.53,6281.83,3661.99,3793.28,3524.28,9664.216666666667,24715.09,46.69318367494007,56.0393750406127,64.14254896583398,151.32535391691547,164.72385710720238,186.6284406499584,226.7427013513588,108.54652142656047,86.580629465409,47.01931570816284,39.328315402127934,51.15690797644579,38.00527295801815,104.21736988607458,266.5235854222663,S
118,118,1956,7978.5,8284.52,3320.96,11652.51,12325.41,7327.52,6084.08,10364.5,11799.15,7027.62,3087.84,2429.19,2429.19,7640.149999999999,12325.41,105.707141870257,100.15453222494068,46.999176890719305,178.03851918341266,142.81286340014216,69.14018056683267,55.81694157042418,103.60083001134386,101.47253935739757,52.601532269577376,33.16217287084528,32.76052632215453,26.19599720138244,82.39015804368616,132.91525400067147,S
119,119,1957,4457.42,8078.61,4555.92,4589.24,4374.3,6527.42,19240.19,35765.3,34403.4,13895.66,10254.47,6202.81,4374.3,12695.395,35765.3,59.05635499346005,97.66521241758458,64.47668444665575,70.11892663274133,50.68442415881028,61.59068790471467,176.5145364679392,357.5005804047197,295.8688007634695,104.00861285856033,110.12892728862144,83.65229573492536,47.17175295386824,136.90511318194316,385.6872861762988,S
120,120,1958,4548.89,3339.92,8879.83,3804.0,2570.95,7780.82,4000.05,9667.11,16461.15,12494.84,11649.09,11030.41,2570.95,8018.921666666666,16461.15,60.26824097038208,40.3774902189534,125.66989693628229,58.12125687716224,29.78925091811108,73.41737719692651,36.69750514930363,96.62990205132544,141.56567983651576,93.52351570847688,125.10659113426703,148.7582433441421,27.72471441299123,86.47477123572259,177.5144139945976,S
121,121,1959,5737.33,7841.54,4664.46,7666.55,8034.76,7472.32,5115.12,6479.94,10768.33,7326.83,3162.55,2482.05,2482.05,6395.981666666668,10768.33,76.01388184075725,94.79918819957716,66.01277360753654,117.13709829432392,93.09768050985129,70.50646795275277,46.92744904171347,64.77178469040548,92.60750051812586,54.84111045826434,33.96452854185831,33.473406509125944,26.76603100362313,68.97324533696145,116.12395182903046,S
122,122,1960,2393.64,4358.23,3673.96,3883.12,3447.84,5997.88,3903.52,13163.27,13857.69,11882.6,11777.75,5250.42,2393.64,6965.826666666667,13857.69,31.713334971024874,52.68820486626903,51.99493397373865,59.33013012745695,39.94965708609662,56.59411454601205,35.81191367618148,131.57660260151692,119.17595707551938,88.94091703115426,126.48834833721892,70.80817993337968,25.812631676038944,75.11836285564947,149.43911693100392,S
123,123,1961,5019.27,4785.68,15979.53,9746.01,6907.68,8418.5,6350.46,3585.51,20809.11,21777.35,18615.41,8580.36,3585.51,10881.239166666668,21777.35,66.50030531743121,57.85580115423152,226.14688436492935,148.90913531477182,80.03835655380989,79.43432567934045,58.26078137784446,35.839819770753394,178.9580803250586,163.00283435514172,199.92209586042736,115.71639502614528,38.66556750420047,117.34154625927695,234.8434661980025,S
124,124,1962,4663.38,5430.6,6557.79,3394.65,4631.32,4110.94,4608.61,3206.5,9158.34,11056.31,5866.7,3114.37,3114.37,5483.2925,11056.31,61.78511891394612,65.65247023373264,92.80772193046292,51.866804589395066,53.66248023573629,38.78954051294504,42.28059379411063,32.05133498300681,78.76160707325768,82.75616029999503,63.00602349259936,42.00099636583734,33.58486894976079,59.13095105132216,119.2294821803221,S
125,125,1963,5393.82,11790.01,10805.88,6526.78,3257.1,2423.94,2243.3,5819.56,7642.22,21864.95,19846.27,9589.09,2243.3,8933.576666666666,21864.95,71.46271805008831,142.53365752963026,152.92790806871685,99.72257017894978,37.73957843029992,22.87153761206634,20.58062106759487,58.170799006301934,65.72299442992849,163.65851781936075,213.1410424702933,129.32032296794767,24.1913891140097,96.33826475423308,235.7881306148827,S
126,126,1964,3412.69,4758.54,3567.91,6106.99,6799.3,5637.84,6536.88,10798.25,12750.43,7517.16,4239.04,3963.39,3412.69,6340.701666666665,12750.43,45.21472782969323,57.52769596472326,50.494084005879714,93.30860529344402,78.78257211050882,53.19689002649079,59.97104722700465,107.93648151575027,109.65353521217568,56.26572499873019,45.525602779427686,53.45104434810124,36.80190421053348,68.3771146410124,137.49860183700025,S
127,127,1965,3437.98,4511.27,4218.6,3647.74,13988.57,5799.54,14094.51,20453.76,20991.49,18481.94,11008.99,15328.17,3437.98,11330.213333333337,20991.49,45.549795025018014,54.53836029008416,59.70283521366968,55.7337627657991,162.0836740176048,54.7226405120107,129.306721991453,204.4504330023469,180.526545996569,138.33678589826897,118.23217184614714,206.71866620373845,37.074627533625936,122.18321200526348,226.36887740063452,S
128,128,1966,10634.72,20923.35,13173.79,5400.97,3552.01,8470.03,9562.6,8968.94,17299.17,15995.45,11162.97,11606.95,3552.01,11395.9125,20923.35,140.89939910891266,252.9498790308566,186.43924844960165,82.52133668660541,41.15666082718052,79.92054659782431,87.72979406275695,89.65117741540281,148.77264113731167,119.72548022536957,119.88585577363456,156.53357332894154,38.30430885162644,122.89170133138994,225.6340665174585,S
129,129,1967,7712.19,9119.76,10908.2,4912.13,2737.23,5139.02,6223.97,9702.55,17432.68,7808.57,5634.69,7531.04,2737.23,7905.1691666666675,17432.68,102.17880083479068,110.25204801288726,154.37597000847475,75.05235792429416,31.71591485271249,48.490180952977866,57.100329026915,96.98415101804856,149.9208254327572,58.44692041320587,60.51432841521037,101.56506249128256,29.51785139060347,85.24808243342626,187.99123843445577,S
130,130,1968,4253.23,3257.19,2366.39,2925.79,2443.8,2042.98,3806.97,1834.25,3902.25,3836.19,8129.0,5210.86,1834.25,3667.408333333333,8129.0,56.35104180194688,39.37733759080242,33.48982890562646,44.70309993654903,28.3159810162313,19.276918533750543,34.926138717827136,18.3346830477406,33.55930017903024,28.713771102767375,87.30222526656216,70.2746661195963,19.780259208475144,39.54874605787386,87.66183841117319,S
131,131,1969,9411.45,10118.63,7358.31,12325.75,6773.71,14529.06,9920.5,4680.78,6848.02,7923.82,12112.19,5009.3,4680.78,8917.626666666667,14529.06,124.69229558874856,122.32774553109309,104.13691020269704,188.3249426797273,78.48606423171131,137.09165336516935,91.01326229263802,46.787852100969474,58.89288456967202,59.309563327032855,130.08010085513612,67.55638896322176,50.476784352103735,96.16626250024632,156.67906384379876,S
132,132,1970,5178.14,4433.19,4388.99,3177.46,7246.53,13879.4,16813.41,6891.81,7185.42,9915.21,3952.85,10775.7,3177.46,7819.8425,16813.41,68.60517385524255,53.594423178927045,62.11424328555542,48.54836195502312,83.9645658047101,130.9616653600805,154.2506218803148,68.88872943996138,61.7945202620046,74.2150598317263,42.45203606162261,145.32317500468906,34.26522143904126,84.32793328033272,181.31312960521632,S
133,133,1971,21704.98,11551.42,11745.93,12697.02,15146.98,18297.17,16385.79,12457.78,6891.27,7109.11,2754.47,2416.21,2416.21,11596.510833333334,21704.98,287.5692674250913,139.64925748671303,166.23176485594726,193.99757123934447,175.50601445831705,172.64635752096663,150.32752413105038,124.52470916095513,59.26483401748881,53.21148256066424,29.581911727148167,32.58547553087779,26.056022953310464,125.0549217376167,234.06303967003885,S
134,134,1972,4679.57,12258.28,8985.49,7438.32,3074.1,13287.53,11422.6,22893.89,28869.69,18620.25,10940.46,10158.02,3074.1,12719.016666666665,28869.69,61.99962021455144,148.1947414312894,127.16522751246308,113.64997567153875,35.61918211064597,125.37696567013204,104.79392065560074,228.8413339947325,248.27896541368372,139.3720322445719,117.49618691595678,136.99302302041923,33.150603697845675,137.15984546467607,311.32612864567136,S
135,135,1973,10643.13,10512.6,6810.25,5201.56,12362.32,14513.14,17867.6,20566.53,23203.54,14403.4,9262.73,5232.3,5201.56,12548.258333333331,23203.54,141.0108231940325,127.09059009669976,96.38060814343476,79.4745543958917,143.2405345922647,136.94143723820906,163.9220367259653,205.5776524148009,199.55014775479157,107.8090320608728,99.4780343268967,70.56381010765283,56.09279274277551,135.3184148552496,250.2232715029147,S
136,136,1974,8180.64,8956.26,9741.83,4599.24,4182.63,9947.08,7275.57,5177.81,8387.69,4201.46,6066.23,5031.36,4182.63,6812.316666666667,9947.08,108.38529461295975,108.2754378992322,137.8691677735703,70.27171647731852,48.4635697184383,93.85752714598252,66.74798253499807,51.75603392744815,72.13402691233266,31.44780647919759,65.1488962945968,67.8538943912314,45.10481426912602,73.46293551963038,107.26772292077902,S
137,137,1975,6035.58,5848.31,5378.68,3513.89,2890.87,5784.66,4652.28,11106.4,17639.89,20531.33,9777.15,18193.6,2890.87,9279.386666666664,20531.33,79.96539591768952,70.70231616997035,76.12061956740645,53.68867069613344,33.49612081201104,54.58223749887196,42.68123379857809,111.01666828481736,151.702828787257,153.67641072402068,105.00270042624776,245.36240956646068,31.174680625871357,100.06742459443085,221.40658541351613,S
138,138,1976,12499.74,7446.02,8014.98,5854.13,7633.67,14758.96,8114.91,17131.46,10450.11,7044.08,11610.86,11399.47,5854.13,10163.199166666667,17131.46,165.60904800668376,90.01760512830589,113.43029208288488,89.44516128346524,88.45030477296602,139.26091766090855,74.44830727394296,171.2415915197199,89.87081258091759,52.72473489310529,124.696016146945,153.73545790720812,63.13000345651388,109.59831751616478,184.74293003659452,S
139,139,1977,10419.7,12307.36,8762.52,7890.5,3363.89,5965.11,8027.94,16086.01,6921.68,11201.51,10848.02,7641.98,3363.89,9119.685,16086.01,138.0505992536839,148.78808714614073,124.0096922240755,120.55882686363005,38.97693975803679,56.28490710377032,73.65042174180337,160.79154687353733,59.52635962923698,83.84297809685125,116.50341810015644,103.06122079515332,36.27565280021668,98.34522731342108,173.46896411619096,S
140,140,1978,4543.04,3227.78,3848.37,1783.95,1440.1,1839.12,6902.36,6248.18,8979.98,4515.22,8485.51,5658.21,1440.1,4789.318333333334,8979.98,60.19073432377671,39.02178955751437,54.46323423676812,27.25694432334742,16.68624448051178,17.353359511004168,63.32405635988236,62.45517237303088,77.22771335042295,33.79629099670176,91.1310008022716,76.30771476964668,15.529808524533214,51.64724441337631,96.8386708937836,S
141,141,1979,3321.61,2172.06,3052.72,3844.76,15946.9,5785.94,7908.46,8199.22,8494.25,25846.37,19530.66,13850.64,2172.06,9829.465833333334,25846.37,44.00800896254489,26.25881200896426,43.20296759907877,58.744028283658864,184.77457961688307,54.59431517742152,72.55428096475339,81.95725770134698,73.05044155185536,193.45933126811596,209.75151665944583,186.79241076189444,23.423148325670173,105.99939052156655,278.7231283620857,S
142,142,1980,7594.37,5621.95,9674.8,4635.36,6292.33,4275.02,10466.15,18043.93,17964.21,11875.62,11082.18,16015.48,4275.02,10295.116666666663,18043.93,100.61780372315896,67.96576898142621,136.92054001925078,70.82359339593131,72.9083790931593,40.33774793201806,96.0191981396193,180.3624028816236,154.4919766465851,88.88867193320621,119.0182033220064,215.9878618395183,46.10113328140407,111.02089477887922,194.5828608638849,S
143,143,1981,13589.4,11454.25,4286.19,4155.8,3704.41,3955.71,3128.11,2745.7,6189.04,7317.74,7521.57,10693.5,2745.7,6561.785,13589.4,180.04595271437873,138.47453452191877,60.65938824834751,63.496403609387706,42.922499073712,37.32483891821866,28.69809948190353,27.445298756538843,53.2256649830291,54.77307207139504,80.77866877822807,144.2146099012261,29.609190518582636,70.7612420173281,146.5459203967028,S
144,144,1982,4354.34,6253.29,4505.09,2386.58,2352.28,11688.73,23457.88,10660.85,6300.98,19695.65,33358.79,16308.86,2352.28,11776.943333333336,33358.79,57.69064813327505,75.59826457258829,63.75732373127367,36.46451872710249,27.25555111910163,110.29119030680964,215.20872791383772,106.5630670680144,54.188347553864034,147.42137011467636,358.2601302989225,219.94444128056395,25.36661203811471,127.000677016141,359.7358664746292,S
145,145,1983,10377.81,11125.69,18431.2,11652.39,33528.85,28589.11,69822.5,29490.95,17034.36,15029.5,11600.3,7430.15,7430.15,22009.400833333333,69822.5,137.49559866799171,134.50245489535905,260.8436202508388,178.03668570527773,388.4942630722918,269.7578754674216,640.5698811982983,294.78381955936527,146.495278518205,112.49537243698624,124.58260594903446,100.20444043181328,80.12555156486388,237.3458653436348,752.9546946074721,S
146,146,1984,6706.36,6270.37,5863.4,6538.21,11340.21,19182.77,14510.4,28608.44,12796.32,12471.2,12958.37,8891.44,5863.4,12178.124166666666,28608.44,88.85255974845107,75.8047508156539,82.98051580899606,99.89720897130152,131.39748386941497,181.00260136745047,133.1222056520432,285.9624805180887,110.04818862628692,93.34657099279038,139.1677373388438,119.91168009165924,63.22996965679332,131.3269470844552,308.5088503476127,S
147,147,1985,3663.73,8910.91,6051.85,10447.23,7608.87,4435.55,5075.98,6374.02,7026.2,4099.61,4420.41,1442.18,1442.18,5796.378333333333,10447.23,48.54075664402039,107.72718549156087,85.64751417243798,159.62306479621338,88.16295051762494,41.85245866448875,46.56836844233504,63.71303608557153,60.425230294804855,30.68546217747717,47.47344440774561,19.44951850258104,15.552238912513932,62.50721870177046,112.66126068450744,S
148,148,1986,2207.91,4867.74,4608.69,8178.72,7168.43,8134.56,4617.95,6397.94,8732.78,8814.02,10924.01,10004.98,2207.91,7054.810833333333,10924.01,29.252598308799797,58.84785391219197,65.2235005975649,124.96253576403376,83.05963163768841,76.7551568923366,42.3662813975392,63.95213414663296,75.10179650648516,65.97268455817196,117.31952046182528,134.9290959713442,23.809749003126264,76.07795390491583,117.80278009866404,S
149,149,1987,10060.67,9720.83,3465.53,9114.21,28826.36,16680.69,13475.38,10638.25,7255.88,13570.69,6194.35,3783.74,3465.53,11065.548333333334,28826.36,133.2938109920209,117.51859872245704,49.04517292894057,139.25587293438508,334.00714564491744,157.3937592226783,123.62666140143828,106.33716338156005,62.400475362424736,101.57622181555509,66.52485411242827,51.02824969071541,37.37172233596667,119.32910689232298,310.85886484220777,S
150,150,1988,4164.84,5450.55,4233.33,5167.18,19085.47,14336.32,5880.25,2576.99,8409.23,6307.63,4033.0,2845.51,2576.99,6874.191666666667,19085.47,55.17996274323761,65.89365293567404,59.91129839166649,78.94926291023533,221.14076692276453,135.27301917482234,53.946951826650334,25.758917741418596,72.31927063732626,47.21242796132324,43.31281516792289,38.37509838874437,27.78984880885831,74.13018564285481,205.81466196842092,S
151,151,1989,9986.79,14814.64,7586.11,7588.99,12744.26,3671.02,8571.05,10933.44,29606.46,12077.44,5332.58,3290.69,3290.69,10516.955833333335,29606.46,132.3149749148918,179.0994939092301,107.36080103417524,115.95206025978324,147.66602186182007,34.63859336643967,78.63305496429767,109.28780538175768,254.6151780071629,90.39928879106792,57.26978723237348,44.37888199895879,35.486275684741486,113.41317294121198,319.2713387190137,S
152,152,1990,17821.51,10640.51,6710.82,12525.44,13020.16,31654.07,14903.15,14622.62,20464.13,24175.18,17569.24,7448.13,6710.82,15962.913333333332,31654.07,236.11717564858105,128.6369399415782,94.9734463112404,191.37600308608916,150.8628379524896,298.6778767543672,136.72539689899986,146.163883346083,175.9912567295017,180.9505224945062,188.68664635776784,100.44692219045396,72.36841166766752,172.14150931212063,341.35243810997235,S
153,153,1991,3556.02,3748.77,2661.22,2970.72,2469.8,10352.36,7636.91,7717.97,2862.06,8436.7,7724.62,9281.3,2469.8,5784.870833333333,10352.36,47.11370691652207,45.32022443894043,37.66234749142417,45.38958470823433,28.61723950973405,97.68162211674016,70.06301022481429,77.14680862585283,24.6136794593876,63.14845528055637,82.95934497952902,125.16940747895916,26.63392895902517,62.38312365865119,111.63819774809852,S
154,154,1992,5870.25,7271.44,8387.34,7365.16,25115.47,29083.72,21451.92,17399.61,12977.97,7870.11,8590.49,5302.88,5302.88,13057.196666666665,29083.72,77.77493884362677,87.907044922545,118.70003742972082,112.53216516861204,291.0095636851325,274.4248603013301,196.8055260965362,173.9219487552394,111.61037630711743,58.9075455317908,92.25844422809072,71.51566564296198,57.18541144960538,140.80672460281,313.6341940012063,S
155,155,1993,5836.33,9534.98,8777.9,5948.24,12557.63,11646.86,19564.52,6250.95,12131.99,22779.05,6582.13,11016.55,5836.33,11052.260833333334,22779.05,77.32553278330978,115.27179144647664,124.2273543882025,90.88306651078116,145.50356522172706,109.8961181186296,179.4900247356043,62.48286056822904,104.33495910794876,170.50052985866006,70.68945700501868,148.5713247026093,62.93805109783275,119.1858166133356,245.6456391019848,S
