id_subsistema,ena_data,ena_bruta_regiao_mwmed,ena_armazenavel_regiao_mwmed,month,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_percentualmlt,max,min
NE,2019-03-21,6540.41015625,6520.36523438,3,46.11991678457701,45.97856936040754,23707.0,2487.0
S,2019-03-21,11639.58789063,11052.56933594,3,164.74593104198277,156.4373105615983,28186.0,1035.75305176
SE/CO,2019-03-21,66508.4375,59662.46875,3,96.52521983738394,86.58950846852777,99094.0,26201.0
N,2019-03-22,21355.71484375,17630.0078125,3,79.02685125024959,65.2398674140812,34739.07421875,7175.0
NE,2019-03-22,6592.88623047,6560.67089844,3,46.489953543494174,46.26278607281326,23707.0,2487.0
S,2019-03-22,10271.05957031,9939.52539063,3,145.37587478166304,140.68336267411752,28186.0,1035.75305176
SE/CO,2019-03-22,66582.3203125,59995.73828125,3,96.63244765669283,87.07319017837109,99094.0,26201.0
N,2019-03-23,21231.55273438,17197.79492188,3,78.5673891989958,63.640463036125496,34739.07421875,7175.0
NE,2019-03-23,7202.21484375,7175.01123047,3,50.78665424995995,50.594827078461456,23707.0,2487.0
S,2019-03-23,9343.95703125,9053.79003906,3,132.25372884282098,128.14672507815368,28186.0,1035.75305176
SE/CO,2019-03-23,66382.71875,59846.51953125,3,96.3427613338079,86.85662558613257,99094.0,26201.0
N,2019-03-24,21253.33789063,16238.93554688,3,78.6480051987424,60.09220264060853,34739.07421875,7175.0
NE,2019-03-24,8822.23046875,8792.87890625,3,62.210247576644065,62.00327407075412,23707.0,2487.0
S,2019-03-24,8521.31347656,8319.12988281,3,120.61008822542496,117.74839546561756,28186.0,1035.75305176
SE/CO,2019-03-24,65906.0546875,57813.32421875,3,95.65096785389953,83.90580262458876,99094.0,26201.0
N,2019-03-25,21463.23828125,16185.41210938,3,79.42474187406614,59.89413908878355,34739.07421875,7175.0
NE,2019-03-25,8053.60400391,8032.12695313,3,56.79025284390251,56.63880671574108,23707.0,2487.0
S,2019-03-25,7741.86279297,7579.43017578,3,109.57779655187548,107.27873639596613,28186.0,1035.75305176
SE/CO,2019-03-25,64515.078125,58189.32421875,3,93.6322116850456,84.45150004318856,99094.0,26201.0
N,2019-03-26,21922.62304688,15717.203125,3,81.12469581172125,58.1615311178798,34739.07421875,7175.0
NE,2019-03-26,7873.97900391,7855.36621094,3,55.52362126354004,55.392372543292026,23707.0,2487.0
S,2019-03-26,7171.07324219,7023.57519531,3,101.49888028302841,99.41120301400059,28186.0,1035.75305176
SE/CO,2019-03-26,62905.9609375,56845.32421875,3,91.29686302695166,82.50092203627862,99094.0,26201.0
N,2019-03-27,22400.83398438,15380.38867188,3,82.89431602347993,56.91514878507588,34739.07421875,7175.0
NE,2019-03-27,6847.20996094,6834.32421875,3,48.28332567236763,48.19246143857911,23707.0,2487.0
S,2019-03-27,6695.14111328,6554.38378906,3,94.76256947659598,92.77029993513997,28186.0,1035.75305176
SE/CO,2019-03-27,60958.33984375,54913.109375,3,88.47023589059553,79.6966543436866,99094.0,26201.0
N,2019-03-28,22913.52539063,15110.33398438,3,84.79153125581657,55.91581105395137,34739.07421875,7175.0
NE,2019-03-28,6558.84814453,6549.54101563,3,46.24993286381877,46.18430333904636,23707.0,2487.0
S,2019-03-28,6319.89892578,6178.45703125,3,89.45141721529615,87.44945831248609,28186.0,1035.75305176
SE/CO,2019-03-28,59519.37109375,52875.33984375,3,86.38182755995514,76.73919271362156,99094.0,26201.0
N,2019-03-29,23506.50585938,13609.57519531,3,86.985856270974,50.362251154220395,34739.07421875,7175.0
NE,2019-03-29,6505.94091797,6505.94091797,3,45.876855820031494,45.876855820031494,23707.0,2487.0
S,2019-03-29,5918.59423828,5787.15185547,3,83.77137811125525,81.91095161352308,28186.0,1035.75305176
SE/CO,2019-03-29,58931.20703125,51835.4375,3,85.52821157426519,75.22995860569534,99094.0,26201.0
N,2019-03-30,23993.27148438,12756.45507813,3,88.78713311523134,47.20527902323549,34739.07421875,7175.0
NE,2019-03-30,6547.30419922,6520.81591797,3,46.16853035474918,45.981747370527756,23707.0,2487.0
S,2019-03-30,5512.94189453,5380.625,3,78.02980257796212,76.15699830114772,28186.0,1035.75305176
SE/CO,2019-03-30,57844.1171875,50759.0546875,3,83.95049316596615,73.66777955727395,99094.0,26201.0
N,2019-03-31,24206.68164063,13622.62402344,3,89.57685768294803,50.41053836011185,34739.07421875,7175.0
NE,2019-03-31,6592.32080078,6578.71923828,3,46.48596639748539,46.39005453329737,23707.0,2487.0
S,2019-03-31,5156.41015625,5020.78613281,3,72.98347673542611,71.06386358217442,28186.0,1035.75305176
SE/CO,2019-03-31,55998.19140625,49095.71875,3,81.27145876768171,71.25374198451321,99094.0,26201.0
N,2019-04-01,24487.13671875,15537.328125,4,90.06855833785745,57.14938258050582,34472.72265625,5722.0
NE,2019-04-01,6469.67578125,6455.35791016,4,56.72722232459349,56.60168078526454,25125.0,1828.0
S,2019-04-01,4899.89990234,4800.20605469,4,74.42155143828425,72.90736319794453,61485.0,751.44000244
SE/CO,2019-04-01,54115.69921875,47486.78515625,4,99.24766030368217,87.09029708828919,69691.0,18547.0
N,2019-04-02,24659.77539063,16882.52539063,4,90.7035577037771,62.09728562800867,34472.72265625,5722.0
NE,2019-04-02,6378.69677734,6366.52587891,4,55.92950287833779,55.82278636201257,25125.0,1828.0
S,2019-04-02,4715.74902344,4653.31884766,4,71.62459754542682,70.67638418786545,61485.0,751.44000244
SE/CO,2019-04-02,52186.1171875,45587.88671875,4,95.70882582994713,83.60773602381173,69691.0,18547.0
N,2019-04-03,24768.11328125,16573.58203125,4,91.10204600943663,60.960930516057,34472.72265625,5722.0
NE,2019-04-03,6442.78417969,6424.16992188,4,56.49143216880554,56.32821917685694,25125.0,1828.0
S,2019-04-03,4642.21777344,4586.18603516,4,70.50777683209286,69.6567453874321,61485.0,751.44000244
SE/CO,2019-04-03,50636.609375,44323.43359375,4,92.86704373652427,81.28874142461696,69691.0,18547.0
N,2019-04-04,24774.41992188,15445.27832031,4,91.12524308780569,56.81080509392851,34472.72265625,5722.0
NE,2019-04-04,6740.09423828,6725.77587891,4,59.098297545560825,58.972751724909436,25125.0,1828.0
S,2019-04-04,4728.04101563,4642.09912109,4,71.81129301824868,70.50597469487684,61485.0,751.44000244
SE/CO,2019-04-04,49447.6796875,43003.578125,4,90.68655837916093,78.86813947169844,69691.0,18547.0
N,2019-04-05,25036.58007813,14460.68847656,4,92.08952027538658,53.18928785411356,34472.72265625,5722.0
NE,2019-04-05,7249.46484375,7230.85107422,4,63.56454601907036,63.401337308444205,25125.0,1828.0
S,2019-04-05,5063.94287109,4951.703125,4,76.91309871072684,75.20835857245018,61485.0,751.44000244
SE/CO,2019-04-05,48941.57421875,42935.86328125,4,89.75836592548322,78.74395111403072,69691.0,18547.0
